PrimerID	derep result	derep result	FeatureID	id	molecularFormula	adduct	NPCpathway	NPCpathway Probability	NPCsuperclass	NPCsuperclass Probability	NPCclass	NPCclass Probability	ClassyFiremost specific class	ClassyFiremost specific class Probability	ClassyFirelevel 5	ClassyFirelevel 5 Probability	ClassyFiresubclass	ClassyFiresubclass Probability	ClassyFireclass	ClassyFireclass Probability	ClassyFiresuperclass	ClassyFiresuperclass probability	ClassyFireall classifications	row ID	row m/z	row retention time	064-0 Peak area	064-1 Peak area	064-2cm-B Peak area	064-3 Peak area	064-4 Peak area	064-5cm-B Peak area	064-6 Peak area	064-7 Peak area	064-8 Peak area	064-9 Peak area	064_Sum	085-0 Peak area	085-1 Peak area	085-2 Peak area	085-3 Peak area	085-4 Peak area	085-5cm-B Peak area	085-6 Peak area	085-7cm-B Peak area	085-8cm-A Peak area	085-9cm-B Peak area	085_Sum	115-0 Peak area	115-1 Peak area	115-2cm-B Peak area	115-3 Peak area	115-4cm-B Peak area	115-5 Peak area	115-6 Peak area	115-7 Peak area	115-8 Peak area	115-9 Peak area	115_Sum	123-0 Peak area	123-1 Peak area	123-2cm-B Peak area	123-3 Peak area	123-4 Peak area	123-5cm-B Peak area	123-6 Peak area	123-7 Peak area	123-8cm-B Peak area	123-9cm-B Peak area	123_Sum	OOI-0cm-B Peak area	OOI-2cm-B Peak area	OOI-3cm-B Peak area	OOI-4cm-B Peak area	OOI-5cm-B Peak area	OOI-6 Peak area	OOI-7cm-B Peak area	OOI-8cm-B Peak area	OOI_Sum
30_Alkaloids_Alpha amino acids and derivatives	Unassigned	N/A	30	106_220629_5mMatOOI_siriusfeaturelist_30	C26H38N4O6	[M + H]+	Alkaloids	0.734761536	Oligopeptides	0.172282085	Piperidine alkaloids	0.073163182	Alpha amino acids and derivatives	0.949042022	Amino acids and derivatives	0.989013731	"Amino acids, peptides, and analogues"	0.989487052	Carboxylic acids and derivatives	0.978670537	Organic acids and derivatives	0.998425245	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Lactams; Piperazines; Pyrrolidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Dioxopiperazines; Carbonyl compounds; Dialkylamines; Benzene and substituted derivatives; Phenol ethers; Diazinanes; Benzenoids; Amines; Secondary amines; Organic oxides; Methoxybenzenes; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	30	503.2852933	10.195117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.7588	0	0	0	0	0	82.7588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1937_Alkaloids_Steroidal alkaloids	Unassigned	N/A	1937	127_220629_5mMatOOI_siriusfeaturelist_1937	C34H61NO	[M + H]+	Alkaloids	0.473310888	Pseudoalkaloids	0.168293223	Steroidal alkaloids	0.165211648	Steroidal alkaloids	0.813898265	Unassigned	Unassigned	Steroidal alkaloids	0.813898265	Steroids and steroid derivatives	0.616256297	Lipids and lipid-like molecules	0.994863212	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Steroids and steroid derivatives; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Steroidal alkaloids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	1937	500.4815988	19.728285	271.2303	191.43532	0	498.5291	64.39988	0	0	0	0	0	1025.5946	371.57086	211.9837	301.7808	196.4723	299.34363	0	214.5656	0	0	0	1595.71689	475.05276	432.34323	0	443.65506	0	477.29108	480.79916	739.79425	0	0	3048.93554	299.5091	681.1952	0	348.82626	302.68155	0	520.8168	475.24158	0	0	2628.27049	0	0	0	0	0	0	0	0	0
353_Alkaloids_Alpha amino acids and derivatives	Unassigned	N/A	353	130_220629_5mMatOOI_siriusfeaturelist_353	C21H20N4O2	[M + K]+	Alkaloids	0.714587033	Peptide alkaloids	0.411112994	Other indole diketopiperazine alkaloids	0.709130466	Alpha amino acids and derivatives	0.801111996	Amino acids and derivatives	0.541792095	"Amino acids, peptides, and analogues"	0.558508873	Carboxylic acids and derivatives	0.928128481	Organic acids and derivatives	0.928231299	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Nitriles; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	353	399.1226873	13.867734	0	108.230606	49.28811	154.78342	0	0	0	0	0	0	312.302136	116.19821	181.921	156.23929	0	0	0	56.23868	0	0	0	510.59718	0	72.638275	0	245.23386	80.53726	267.90833	294.82437	261.19302	99.828186	83.03856	1405.201861	44.36827	151.01796	83.54855	142.13455	107.356895	0	252.59467	149.8182	131.82019	131.9336	1194.592885	0	0	0	83.61773	88.43372	90.318016	84.37936	92.920456	439.669282
6_Alkaloids_Nitrobenzenes	Unassigned	N/A	6	140_220629_5mMatOOI_siriusfeaturelist_6	C23H16N4O6	[M + K]+	Alkaloids	0.765174508	Anthranilic acid alkaloids	0.632604301	Quinazoline alkaloids	0.143106267	Nitrobenzenes	0.835915625	Unassigned	Unassigned	Nitrobenzenes	0.835915625	Benzene and substituted derivatives	0.969829917	Benzenoids	0.999783933	"Organic compounds; Organoheterocyclic compounds; Nitrobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Organic nitro compounds; Organic oxoazanium compounds; Benzene and substituted derivatives; Benzenoids; Methyl esters; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	6	483.0713191	8.472125	754.82605	0	0	0	0	0	0	0	0	0	754.82605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.46812	0	0	0	0	0	0	0	0	0	79.46812	0	0	0	0	0	0	0	0	0
167_Alkaloids_Heteroaromatic compounds	Unassigned	N/A	167	150_220629_5mMatOOI_siriusfeaturelist_167	C21H36N6O3	[M + Na]+	Alkaloids	0.774787843	Guanidine alkaloids	0.365351945	Purine alkaloids	0.087173708	Heteroaromatic compounds	0.804252386	Unassigned	Unassigned	Unassigned	Unassigned	Heteroaromatic compounds	0.804252386	Organoheterocyclic compounds	0.997489691	"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Amines; Allyl-type 1,3-dipolar organic compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	167	443.2770217	12.3645315	0	0	111.44693	222.03894	0	73.8807	0	0	0	0	407.36657	0	110.43944	99.2225	109.18614	111.09146	39.369858	0	77.54719	0	0	546.856588	343.01743	310.06122	162.86432	487.19028	282.0691	484.04092	467.1056	520.8606	373.05423	293.83093	3724.09463	0	293.89737	181.60144	381.58588	0	178.82927	564.64026	461.70764	316.556	415.15665	2793.97451	109.923195	98.26152	137.69263	198.73463	144.436	98.8162	158.96185	193.89229	1140.718315
703_Alkaloids_Porphyrins	Unassigned	N/A	703	152_220629_5mMatOOI_siriusfeaturelist_703	C33H34N4O4	[M - H4O2 + H]+	Alkaloids	0.982417762	Tryptophan alkaloids	0.979637444	Carboline alkaloids	0.947930634	Porphyrins	0.987404883	Unassigned	Unassigned	Porphyrins	0.987404883	Tetrapyrroles and derivatives	0.997995853	Organoheterocyclic compounds	0.999990582	Organic compounds; Organoheterocyclic compounds; Pyrroles; Porphyrins; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Tetrapyrroles and derivatives; Carbonyl compounds; Substituted pyrroles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	703	515.2434672	15.783769	88.056366	123.50964	107.61293	317.86316	54.09329	110.62564	0	0	0	0	801.761026	596.1827	928.94196	476.94687	429.03748	230.76111	74.49524	85.0945	114.90279	56.042088	0	2992.404738	594.5352	611.67523	138.42772	510.97192	81.770004	350.3914	422.00067	171.17676	71.72123	0	2952.670134	280.0401	410.10254	434.33203	0	132.30591	211.39336	102.92784	110.109634	197.7396	184.62628	2063.577294	136.71924	123.15382	295.6789	160.5	146.05132	125.39891	144.1895	133.12253	1264.81422
178_Alkaloids_N-acyl-alpha amino acids and derivatives	Unassigned	N/A	178	155_220629_5mMatOOI_siriusfeaturelist_178	C21H28N6O4	[M + Na]+	Alkaloids	0.58249408	Small peptides	0.278190672	Purine alkaloids	0.230011553	N-acyl-alpha amino acids and derivatives	0.546413064	Amino acids and derivatives	0.948237538	"Amino acids, peptides, and analogues"	0.950055599	Carboxylic acids and derivatives	0.963326633	Organic acids and derivatives	0.987094581	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	178	451.2094212	12.481934	0	0	0	0	0	0	0	0	0	0	0	211.33655	0	0	0	0	0	0	0	0	0	211.33655	0	156.18578	0	37.982834	0	0	0	0	0	0	194.168614	0	0	0	0	0	89.406395	0	0	0	0	89.406395	0	0	0	0	0	0	0	0	0
1696_Alkaloids_Amino acids and derivatives	Unassigned	N/A	1696	156_220629_5mMatOOI_siriusfeaturelist_1696	C49H88N8O4	[M + H]+	Alkaloids	0.238565579	Oligopeptides	0.311241984	Linear peptides	0.199525982	Amino acids and derivatives	0.645892322	Amino acids and derivatives	0.645892322	"Amino acids, peptides, and analogues"	0.662273824	Carboxylic acids and derivatives	0.644170105	Organic acids and derivatives	0.3547405	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Aminopyrimidines and derivatives; Diazines; Tertiary carboxylic acid amides; Carbonyl compounds; Amines; Imidolactams; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	1696	853.7075126	18.814478	0	0	0	0	0	0	0	0	0	0	0	0	389.89062	68.072845	124.1436	0	0	0	0	0	0	582.107065	0	0	0	0	706.78345	69.910355	137.82602	0	0	0	914.519825	0	0	691.9274	0	0	0	0	0	0	0	691.9274	0	0	0	0	0	0	0	0	0
687_Alkaloids_Chlorins	Unassigned	N/A	687	164_220629_5mMatOOI_siriusfeaturelist_687	C33H34N4O4	[M - H2O + H]+	Alkaloids	0.992073238	Tryptophan alkaloids	0.98988682	Carboline alkaloids	0.962489963	Chlorins	0.844729662	Unassigned	Unassigned	Chlorins	0.844729662	Tetrapyrroles and derivatives	0.998326838	Organoheterocyclic compounds	0.999968886	"Organic compounds; Organoheterocyclic compounds; Pyrroles; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Chlorins; Carboxylic acid derivatives; Carboxylic acid esters; Tetrapyrroles and derivatives; Secondary alcohols; Carbonyl compounds; Substituted pyrroles; Aromatic alcohols; Methyl esters; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	687	533.2551345	15.723552	1514.4342	1775.4138	344.4578	4614.962	0	0	473.4639	0	0	0	8722.7317	3922.9673	10556.447	2243.0635	2162.2134	1577.1108	843.9402	563.5239	1338.5881	388.74603	138.10939	23734.70962	4474.925	8626.605	695.7901	3356.8408	669.067	8575.087	2896.7896	1579.2352	362.44455	177.4227	31414.20695	1774.9751	6271.994	7399.4155	895.0381	454.7704	1619.4922	1432.331	1414.8651	2339.288	2222.282	25824.4514	1495.7539	2080.9927	1847.9943	1623.6763	1823.7894	1545.4062	1774.0867	1821.7561	14013.4556
"614_Alkaloids_1,2-aminoalcohols"	Unassigned	N/A	614	165_220629_5mMatOOI_siriusfeaturelist_614	C28H54N6O2	[M + H]+	Alkaloids	0.262264162	Pseudoalkaloids	0.146081403	Simple amide alkaloids	0.123044357	"1,2-aminoalcohols"	0.523605049	Alkanolamines	0.662643075	Amines	0.993473113	Organonitrogen compounds	0.999951482	Organic nitrogen compounds	0.999975801	"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dialkyl ethers; 1,2-aminoalcohols; Trialkylamines; Amines; Secondary amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	614	507.4375491	15.31337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.638214	0	90.793015	72.63215	108.417046	123.4585	142.00517	601.944095
