row ID	row m/z	row retention time	OOI-3cm-B Peak area	OOI-7cm-B Peak area	OOI-8cm-B Peak area	OOI-0cm-B Peak area	OOI-4cm-B Peak area	OOI-2cm-B Peak area	OOI-5cm-B Peak area	115-9 Peak area	123-8cm-B Peak area	123-9cm-B Peak area	123-5cm-B Peak area	123-4 Peak area	123-7 Peak area	123-3 Peak area	123-6 Peak area	064-7 Peak area	085-8cm-A Peak area	085-9cm-B Peak area	115-4cm-B Peak area	115-8 Peak area	123-2cm-B Peak area	123-0 Peak area	115-5 Peak area	115-3 Peak area	115-7 Peak area	085-5cm-B Peak area	115-1 Peak area	064-9 Peak area	064-5cm-B Peak area	115-2cm-B Peak area	OOI-6 Peak area	085-7cm-B Peak area	085-6 Peak area	123-1 Peak area	115-6 Peak area	085-0 Peak area	085-4 Peak area	064-2cm-B Peak area	115-0 Peak area	085-2 Peak area	064-6 Peak area	085-1 Peak area	064-4 Peak area	085-3 Peak area	064-8 Peak area	064-3 Peak area	064-1 Peak area	064-0 Peak area	
1484	411.36124867971500	18.122795	0	0	59.618217	92.18583	72.00202	79.73117	123.69981	224.23647	38.18216	0	140.65143	203.74745	140.83046	321.4718	155.81247	0	89.743256	0	260.25873	326.82602	154.51086	176.94048	81.812454	213.83768	0	157.05296	310.6303	0	51.195366	303.06906	153.70712	93.36586	0	193.74966	0	110.87456	43.074215	133.2244	227.94719	0	56.871925	0	79.407425	0	125.16199	230.25113	0	152.68011	
630	613.3019647019500	15.3611	101.889656	180.20197	201.73921	0	127.68414	58.759747	91.65761	1581.7921	2414.2822	2188.678	1954.7422	530.1247	440.49646	786.5433	479.70105	0	251.11337	53.50208	987.06683	879.28015	1574.3975	393.39313	1151.4727	1356.2589	1222.2095	101.94316	1118.8136	69.93534	796.6249	760.5674	109.310196	360.1448	422.24374	434.55054	867.2023	102.55348	280.68576	583.521	533.54736	270.3721	209.52971	94.794495	613.8601	240.37392	0	302.01672	608.1467	338.25287	
1190	577.279591891617	17.060802	0	0	22.38491	303.06964	50.1429	75.21233	34.94822	88.21901	92.5426	199.4379	352.94986	197.36449	51.040768	91.23257	58.82802	0	0	0	131.66304	152.59756	253.18329	79.45726	227.28725	296.0955	240.11162	202.94101	92.23261	0	112.31086	167.46959	49.716125	84.90857	64.43978	316.49243	124.27765	389.53772	598.9355	134.13658	157.42503	416.42703	60.98822	449.99112	81.405464	906.55566	0	124.45213	101.34948	21.134525	
884	441.3718247663940	16.495932	47.455914	48.08914	0	0	44.47518	0	41.204494	318.10605	29.053127	0	65.1095	375.6503	308.81274	396.02966	409.40204	253.18689	461.3376	253.68274	250.75114	127.833145	39.5263	88.71556	129.92651	92.42103	38.46914	121.466286	113.87036	330.16602	201.69426	155.4876	0	375.21603	424.07486	330.92117	0	0	141.46498	189.82904	0	60.065723	219.85982	0	186.53589	41.895924	356.3611	229.21872	208.61172	402.47324	
1798	570.5432260337530	19.327791	0	0	0	0	0	0	0	0	57.8244	0	0	0	0	0	0	0	157.39355	0	0	36.62254	0	0	0	0	0	201.22125	0	0	0	0	0	133.3825	101.16714	0	0	0	0	46.88009	0	0	39.195877	0	61.609337	0	0	0	0	83.15311	
395	639.4014538524520	14.13202	0	38.948822	86.63796	0	39.03768	48.87791	0	446.69104	232.6545	183.39937	380.02194	586.3961	479.50327	930.9479	768.5902	0	0	0	707.9894	546.3866	511.952	986.0652	239.65189	239.57776	360.50745	60.62193	0	0	182.72041	845.1062	0	60.515472	0	853.1559	363.46942	198.42577	104.75419	434.03574	230.83127	124.38632	0	194.04181	41.02146	67.258896	0	534.9031	83.75438	2361.317	
1492	547.4692658457070	18.128712	0	0	61.42296	0	0	48.946163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	853.65283	0	0	140.99953	0	99.925224	0	374.54398	0	0	0	344.83942	176.53711	0	0	66.8821	0	0	0	92.689995	87.20031	98.020935	35.82366	
80	1019.7207626331900	11.100421	0	0	0	0	0	14.777725	0	50.980297	0	0	65.71262	30.407473	0	0	0	0	0	0	0	47.095455	69.07973	55.303833	41.50393	61.556583	36.420696	0	0	0	0	35.849815	0	0	0	42.612	79.11203	0	0	0	68.067184	0	0	0	0	0	0	20.028	0	0	
1900	1115.658894986670	19.603243	0	0	0	88.97099	0	338.46945	0	0	0	0	511.2852	245.77773	109.08142	239.09648	164.14265	0	0	0	0	0	1189.7675	204.23431	308.56012	410.581	376.5342	0	383.67822	0	0	0	0	0	0	172.00534	380.62683	1034.4152	114.203674	64.796265	532.0847	233.264	0	395.74722	0	182.04556	0	232.24213	0	105.693375	
1504	512.5034032523340	18.176586	81.77714	0	85.94331	52.34384	0	49.621643	58.192207	0	83.36689	55.73863	46.74788	45.15629	0	0	58.209354	50.89936	92.485535	53.47735	0	76.08946	0	0	0	38.215614	0	312.99902	0	0	46.269382	54.69455	45.625412	137.65817	149.71431	0	0	52.55068	185.93886	56.76715	0	0	98.41201	0	41.39943	0	134.82213	66.91052	0	0	
1792	580.5682289258860	19.294672	0	0	55.49704	0	0	0	0	106.57156	40.44912	49.59842	64.02535	0	56.3458	67.0686	111.89966	0	145.3306	171.01581	123.52673	134.81758	0	36.242153	0	0	0	359.09485	0	0	185.62204	57.70948	0	419.64954	328.89774	0	0	0	0	141.55751	0	0	367.12524	0	204.45142	0	902.39154	128.23444	197.75981	139.4693	
1585	677.5467198752680	18.429287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1513.3835	124.902756	101.75697	0	0	0	0	0	0	0	49.227367	0	6778.496	555.2513	0	0	230.0293	340.14322	0	0	0	138.89835	493.70496	0	0	1276.1527	0	1148.6224	0	7468.897	375.29727	733.4708	140.37947	
1977	443.4454379658350	19.822475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203.66745	0	0	0	0	0	0	48.25718	0	
323	494.35956027861900	13.665116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492.3935	
1117	510.39688457538100	16.959534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.10411	0	1071.8966	
1633	556.5288519277940	18.577423	341.37985	0	0	0	0	0	380.5895	398.648	335.16882	0	0	292.95978	410.998	279.58694	213.72748	0	0	0	288.3052	0	332.39264	257.9728	259.6181	256.611	124.897736	315.23605	643.18964	0	296.44882	416.7523	444.11526	0	230.72365	207.6991	188.93567	381.23557	221.15767	0	186.46948	242.00328	176.5489	272.90988	229.05933	259.87622	0	361.50098	289.87125	350.1686	
439	361.2448053841250	14.368541	0	0	0	0	0	0	0	163.70064	0	127.54337	94.34607	96.90375	395.5909	146.76006	0	0	0	0	166.65741	172.16562	61.10793	53.545086	0	0	0	111.73735	0	0	0	185.49628	0	130.6418	0	182.71877	0	0	45.393227	48.51641	0	0	0	0	101.25167	0	0	57.76326	0	0	
728	549.2496080212780	15.855452	296.76462	0	606.71783	314.52216	398.39297	432.31845	339.64725	439.6053	2357.2812	2127.9968	2546.2395	678.28613	714.50604	845.8725	551.0912	0	783.6635	0	805.2646	509.66187	3218.0256	1641.9282	5897.925	7336.9727	4273.1406	1053.3947	7639.6343	0	0	717.09155	337.34146	1068.2266	571.5677	1723.1797	4996.968	5157.4775	2199.1887	625.199	7996.0215	4713.998	214.96565	6470.9453	298.45563	4104.4473	0	1013.93945	544.43164	748.5202	
1028	499.21176889673200	16.748913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.3002	0	68.7675	37.910187	159.70766	98.19281	44.387318	0	220.49786	0	0	27.503216	0	0	0	0	40.22882	0	0	0	0	0	0	35.021156	0	20.600868	0	0	0	0	
1646	993.4767474407730	18.635784	0	0	0	0	0	0	0	316.63864	52.446926	0	325.88223	158.06499	223.49762	244.35902	366.0679	0	0	0	266.05957	304.69464	319.8831	225.29558	349.5553	342.42673	0	0	131.8211	0	0	269.8662	0	0	0	329.40305	365.3061	41.622955	0	63.193336	242.20667	0	0	100.47671	0	0	0	67.986496	0	89.9912	
1599	677.5470287587700	18.463297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	991.1367	113.58403	91.54369	0	0	0	0	0	0	0	49.227367	0	0	528.32715	0	0	246.35359	138.44879	0	0	0	143.53001	460.88477	0	0	697.8065	0	949.6663	0	4095.1057	303.22543	342.6066	106.29038	
2004	811.6560510520510	19.885141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650.94635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1029.8486	0	0	0	
2112	697.623143500634	20.195795	179.43929	155.27837	240.88332	110.93652	148.21509	152.54422	146.31358	161.76688	240.79506	221.26779	157.67432	0	0	84.38039	132.36539	0	0	0	174.6215	232.06352	156.79688	0	159.41194	149.90216	103.14714	72.42685	0	0	114.90264	170.84578	165.39345	114.90863	0	84.43507	112.63425	56.04046	65.6689	101.69786	0	68.318245	0	80.25165	0	0	0	63.121185	73.06756	64.66753	
964	411.2673359619620	16.611092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.158215	0	254.40286	
