id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
435_220629_5mMatOOI_siriusfeaturelist_1338	C43H80O6	[M + Na]+	Fatty acids	0.5561714768409729	Glycerolipids	0.3689953684806824	Polyprenol derivatives	0.5278188586235046	Fatty acid esters	0.912659227848053			Fatty acid esters	0.912659227848053	Fatty Acyls	0.9740256667137146	Lipids and lipid-like molecules	0.9922989010810852	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
522_220629_5mMatOOI_siriusfeaturelist_2006	C40H83NO6	[M + H3N + H]+	Fatty acids	0.9987273812294006	Sphingolipids	0.9968234300613403	Ceramides	0.9467541575431824	Ceramides	0.9699272513389587			Ceramides	0.9699272513389587	Sphingolipids	0.5613402724266052	Lipids and lipid-like molecules	0.9698450565338135	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
174_220629_5mMatOOI_siriusfeaturelist_920	C52H52N8O8	[M + H3N + H]+	Amino acids and Peptides	0.8735074400901794	Oligopeptides	0.5667648315429688	Cyclic peptides	0.4810733199119568	Alpha amino acid amides	0.5048907995223999	Amino acids and derivatives	0.9208464026451111	Amino acids, peptides, and analogues	0.941395103931427	Carboxylic acids and derivatives	0.9658362865447998	Organic acids and derivatives	0.9793588519096375	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
87_220629_5mMatOOI_siriusfeaturelist_1979	C41H76N10O13	[M + H]+	Amino acids and Peptides	0.9721716642379761	Oligopeptides	0.9311026334762573	Cyclic peptides	0.8614622950553894	Peptides	0.7871567010879517	Peptides	0.7871567010879517	Amino acids, peptides, and analogues	0.985550045967102	Carboxylic acids and derivatives	0.9990864992141724	Organic acids and derivatives	0.9998509883880615	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
348_220629_5mMatOOI_siriusfeaturelist_2000	C45H92O5	[M + K]+	Fatty acids	0.9960827827453613	Glycerolipids	0.9893578886985779	Diacylglycerols	0.9822287559509277	1,2-diacylglycerols	0.9578627943992615	Diacylglycerols	0.7534268498420715	Diradylglycerols	0.9900418519973755	Glycerolipids	0.9949565529823303	Lipids and lipid-like molecules	0.9998212456703186	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; 1,2-diacylglycerols; Carbonyl compounds; Diradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
436_220629_5mMatOOI_siriusfeaturelist_190	C23H41N3O5	[M + H]+	Amino acids and Peptides	0.7541458010673523	Oligopeptides	0.1764940619468689	Piperidine alkaloids	0.0879841297864914	Alpha amino acids and derivatives	0.9796690344810486	Amino acids and derivatives	0.996832549571991	Amino acids, peptides, and analogues	0.9973511695861816	Carboxylic acids and derivatives	0.9997895359992981	Organic acids and derivatives	0.9999874830245972	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
261_220629_5mMatOOI_siriusfeaturelist_876	C19H36N8O8S	[M - H2O + H]+	Amino acids and Peptides	0.760490357875824	Small peptides	0.6139591932296753	Tripeptides	0.8315447568893433	Oligopeptides	0.6336597204208374	Peptides	0.9275829792022705	Amino acids, peptides, and analogues	0.9934781789779663	Carboxylic acids and derivatives	0.9798571467399597	Organic acids and derivatives	0.9902132153511047	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Azoles; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Dialkylamines; Alpha amino acid amides; Alpha amino acids; Amines; Primary amines; Secondary amines; Sulfenyl compounds; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
437_220629_5mMatOOI_siriusfeaturelist_316	C21H37N7O2	[M + H]+	Alkaloids	0.9832590818405151	Lysine alkaloids	0.2995002269744873	Quinolizidine alkaloids	0.1241803914308548	Dialkylarylamines	0.5659570097923279	Tertiary amines	0.9434491395950317	Amines	0.9930701851844788	Organonitrogen compounds	0.9999972581863403	Organic nitrogen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Piperidines; Organonitrogen compounds; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Trialkylamines; Amines; Tertiary amines; Tertiary alkylarylamines; Imidolactams; Dialkylarylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
349_220629_5mMatOOI_siriusfeaturelist_2134	C37H68O2	[M + H]+	Terpenoids	0.7162556648254395	Fatty Acids and Conjugates	0.16509471833705902	Unsaturated fatty acids	0.17081889510154724	Fatty Acyls	0.7724101543426514					Fatty Acyls	0.7724101543426514	Lipids and lipid-like molecules	0.9854738712310791	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organooxygen compounds; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
175_220629_5mMatOOI_siriusfeaturelist_1003	C41H76NO7P	[M + H]+	Fatty acids	0.9981769323348999	Glycerophospholipids	0.9998130202293396	Glycerophosphoethanolamines	0.9885313510894775	Amino acids and derivatives	0.9978492259979248	Amino acids and derivatives	0.9978492259979248	Amino acids, peptides, and analogues	0.9978571534156799	Carboxylic acids and derivatives	0.9999958276748657	Organic acids and derivatives	0.9999994039535522	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
