NPCpathway,Amino acids and Peptides,Carbohydrates,Polyketides,Shikimates and Phenylpropanoids,Alkaloids,Terpenoids,Fatty acids,Unassigned
064-0,64701.81353,36736.5454,21178.36008,5985.17558,106491.4205,307566.3691,85074.93762,79065.1085
064-1,33425.39972,11884.60608,12421.99575,2837.74239,66357.85645,125549.8058,133235.4568,34048.17004
064-2,33485.92399,7901.568874,15225.78911,2239.36695,46490.86003,120825.2014,116574.9847,36608.67637
064-3,50356.94298,3923.23503,22741.90947,1805.36074,82335.4962,237798.986,114984.4126,58868.32069
064-4,21469.48063,4108.011925,10778.96617,1022.2376,32304.25118,71661.9732,92185.55865,31821.22879
064-5,24092.36994,13114.2313,11782.51567,1132.538975,41700.30765,65013.36317,108219.3395,26730.48539
064-6,10920.89653,2214.317164,5360.086469,312.892793,16180.20222,45560.30073,84733.85958,18682.42318
064-7,8100.94378,10262.66562,3551.333227,496.9557,5810.775784,22719.80474,63874.96541,10706.27548
064-8,10805.66738,844.82476,3147.421825,79.05698,4449.404615,67775.7016,137597.4247,31020.40333
064-9,12492.38732,10266.42914,3033.575374,785.2263,10305.83397,81041.9523,134262.4577,28286.76854
085-0,46153.05791,5846.692092,30463.95955,1584.09812,128152.489,195621.6487,57186.58951,63879.36874
085-1,49683.16777,8072.801256,22306.09458,1526.329925,118175.5895,213154.532,38571.07173,64496.60122
085-2,41934.03193,12333.95818,19306.04467,3110.61728,105324.9815,162878.4894,35815.78578,42557.47391
085-3,43024.16009,10769.57564,18408.39759,2290.52282,94720.40235,149103.8462,36542.70482,40440.45751
085-4,31480.44763,9228.45734,17104.2212,2001.399795,64630.21542,112621.516,41628.29552,32137.09618
085-5,13572.9235,2968.949671,9586.184938,406.638655,30566.27327,42083.14699,53314.60588,20959.03878
085-6,24973.92666,12627.73204,14242.22538,2108.63543,53113.81647,90612.85862,65124.99157,31473.05368
085-7,24125.47085,4703.40209,15633.53418,740.40174,36336.50039,67130.07461,46409.70672,21979.73907
085-8,11594.70287,2695.64709,8372.823198,263.31518,12472.37412,30507.8088,30046.44567,12780.35427
085-9,10248.11652,1044.400476,5765.002491,57.27515,4044.889477,12470.89534,37053.41485,7392.35307
115-0,59733.06715,6991.200477,24794.62973,2064.24301,157867.14,281700.0266,61617.7036,87515.55838
115-1,30243.66658,3099.557447,15779.63825,1546.45052,119862.1398,112162.2286,27533.81424,42504.0469
115-2,52729.87422,17757.36616,25847.77075,2381.272366,87472.79503,238798.0468,59125.61038,71473.17694
115-3,68331.45533,5601.91618,29267.62573,2449.098231,155926.4267,352909.3347,47978.83162,81345.37963
115-4,69177.41829,32121.94513,27679.80744,3023.78474,100662.5134,311252.4727,85539.7838,94458.91732
115-5,66921.62199,6011.59403,24962.93884,2276.31467,145221.5009,262049.0022,38679.76803,57006.71241
115-6,64171.87902,6877.9397,23944.2908,2117.92377,123687.3991,263902.6734,39896.34496,69492.85372
115-7,62471.86866,9107.173819,22637.65659,2936.03858,113744.4911,248668.976,37436.49178,62653.57385
115-8,58307.32765,12010.80679,25406.03485,1568.503276,76325.16141,203273.594,68463.8574,66033.96779
115-9,56998.03659,27750.39219,21271.52024,1898.1366,90674.48686,195010.2409,66240.99377,62497.38835
123-0,47212.01076,14751.03216,25172.69392,10658.44014,122267.4743,315669.9752,49575.31223,72133.84372
123-1,58865.83435,9236.74261,25649.41082,3612.78734,125201.2208,349620.6555,40774.42561,76521.28169
123-2,65563.0914,9372.611812,28973.29939,2566.9751,180891.1485,282058.1402,38010.68271,113161.0752
123-3,60537.97829,15309.82513,25615.8524,2196.999565,107416.9747,318226.0343,66636.83013,76293.87782
123-4,48276.50411,14269.33416,17094.4079,3462.238837,67234.72376,251173.4675,45184.90076,72356.70565
123-5,61164.61674,21859.13348,23447.29495,2959.29684,129684.9276,237754.2936,44497.05217,84363.61412
123-6,71531.97284,9385.984435,27204.36557,2099.17772,108299.4007,379384.8765,72632.82879,86257.41531
123-7,61359.62812,8171.66713,23715.22817,2616.39832,90640.43515,270725.8843,75683.6409,62675.88893
123-8,56056.63751,12509.4241,24325.35505,1792.76608,114848.0652,192701.2811,38817.39277,74033.15924
123-9,54494.64473,11108.19277,25117.85319,1797.67885,135868.6704,173473.9913,37483.08262,64367.84973
OOI-0,8457.256496,4660.525061,8371.19081,662.44334,65194.05327,22169.52793,35780.58721,15876.85575
OOI-2,17902.63691,5977.480699,12835.58318,1186.20342,49608.73247,50416.93521,36026.18187,28200.09262
OOI-3,17058.66028,4236.74031,13328.98602,858.05745,29696.34599,59658.41831,33092.34328,23573.81511
OOI-4,19009.94268,5448.232426,13718.3665,770.33071,42677.07059,59347.74283,36340.92741,24181.39817
OOI-5,15963.35256,6113.396657,12781.97987,903.63833,44291.4376,50147.40013,38713.24924,23500.15913
OOI-6,17198.44973,12211.96962,11977.33175,1205.69453,47435.76334,51193.51772,45435.14625,22512.26077
OOI-7,18249.21676,7694.02302,11945.30932,985.5535,44247.1358,54819.46447,33559.08442,23378.93269
OOI-8,22468.47953,6036.87092,16744.59152,853.608365,37674.67072,67961.09036,42580.299,27868.7685
